"film.person.href","film.href","film","id","award","film.person","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age"
"http://www.imdb.com/name/nm0000001/","http://www.imdb.com/title/tt0072308/","The Towering Inferno","The Towering Inferno Best Supporting Actor","Best Supporting Actor","Fred Astaire",1975,0,0,0,9,13,165,0,0,0,0,1,"December",0,1,1,NA,0,0,1,0,1,116,14,"PG",1,76
"http://www.imdb.com/name/nm0000002/","http://www.imdb.com/title/tt0117057/","The Mirror Has Two Faces","The Mirror Has Two Faces Best Supporting Actress","Best Supporting Actress","Lauren Bacall",1997,0,0,0,4,5,126,1,1,0,1,0,"November",0,0,1,1,0,0,0,0,0,41.083864,42,"PG-13",1,73
"http://www.imdb.com/name/nm0000005/","http://www.imdb.com/title/tt0083922/","Fanny and Alexander","Fanny and Alexander Best Director","Best Director","Ingmar Bergman",1984,0,8,0,20,7,188,1,0,0,0,0,"June",0,0,0,NA,0,1,0,1,0,6.783304,NA,"R",0,66
"http://www.imdb.com/name/nm0000005/","http://www.imdb.com/title/tt0074147/","Face to Face","Face to Face Best Director","Best Director","Ingmar Bergman",1977,0,6,0,8,2,114,1,0,0,0,0,"April",0,0,0,NA,0,0,0,1,0,NA,NA,NA,1,59
"http://www.imdb.com/name/nm0000005/","http://www.imdb.com/title/tt0069467/","Viskningar och rop","Viskningar och rop Best Director","Best Director","Ingmar Bergman",1974,0,3,0,24,8,91,1,0,0,1,0,"December",0,0,0,NA,0,1,0,1,1,NA,0.4,"R",1,56
"http://www.imdb.com/name/nm0000006/","http://www.imdb.com/title/tt0071877/","Murder on the Orient Express","Murder on the Orient Express Best Supporting Actress","Best Supporting Actress","Ingrid Bergman",1975,1,5,2,8,16,128,1,0,0,0,0,"November",0,1,0,NA,0,1,0,0,0,27.634716,NA,"PG",1,60
"http://www.imdb.com/name/nm0000006/","http://www.imdb.com/title/tt0077711/","Autumn Sonata","Autumn Sonata Best Actress","Best Actress","Ingrid Bergman",1979,0,6,3,13,2,99,1,0,0,0,0,"October",0,0,0,NA,0,1,0,0,0,NA,NA,"Unrated",1,64
"http://www.imdb.com/name/nm0000008/","http://www.imdb.com/title/tt0068646/","The Godfather","The Godfather Best Actor","Best Actor","Marlon Brando",1973,1,5,1,29,19,175,1,0,0,0,0,"March",0,0,1,NA,1,1,1,1,1,133.698921,6,"R",1,49
"http://www.imdb.com/name/nm0000008/","http://www.imdb.com/title/tt0070849/","Last Tango in Paris","Last Tango in Paris Best Actor","Best Actor","Marlon Brando",1974,0,6,2,5,5,136,1,0,0,1,0,"January",0,0,0,NA,0,0,0,1,0,36.144,1.25e-06,"X",1,50
"http://www.imdb.com/name/nm0000008/","http://www.imdb.com/title/tt0097243/","A Dry White Season","A Dry White Season Best Supporting Actor","Best Supporting Actor","Marlon Brando",1990,0,7,2,2,6,97,1,0,1,0,0,"September",0,0,0,NA,0,0,0,0,0,3.766879,NA,"R",1,66
"http://www.imdb.com/name/nm0000009/","http://www.imdb.com/title/tt0075995/","Equus","Equus Best Actor","Best Actor","Richard Burton",1978,0,6,0,5,4,137,1,0,0,0,0,"October",0,0,1,NA,0,1,0,0,0,NA,NA,NA,1,53
"http://www.imdb.com/name/nm0000009/","http://www.imdb.com/title/tt0064030/","Anne of the Thousand Days","Anne of the Thousand Days Best Actor","Best Actor","Richard Burton",1970,0,5,0,5,16,145,1,0,1,0,0,"December",0,0,0,NA,0,1,0,0,1,NA,NA,"M/PG",1,45
"http://www.imdb.com/name/nm0000019/","http://www.imdb.com/title/tt0064940/","Fellini - Satyricon","Fellini - Satyricon Best Director","Best Director","Federico Fellini",1971,0,8,0,7,6,128,1,0,0,0,0,"March",0,0,0,NA,0,0,0,1,0,NA,3,"R",1,51
"http://www.imdb.com/name/nm0000019/","http://www.imdb.com/title/tt0071129/","Amarcord","Amarcord Best Director","Best Director","Federico Fellini",1976,0,9,0,16,8,123,1,1,0,0,0,"September",0,0,0,NA,0,1,0,1,0,0.12625,NA,"R",0,56
"http://www.imdb.com/name/nm0000020/","http://www.imdb.com/title/tt0082846/","On Golden Pond","On Golden Pond Best Actor","Best Actor","Henry Fonda",1982,1,2,0,14,20,109,1,0,0,0,0,"December",0,0,1,NA,0,1,1,1,1,119.285432,NA,"PG",1,77
"http://www.imdb.com/name/nm0000024/","http://www.imdb.com/title/tt0082031/","Arthur","Arthur Best Supporting Actor","Best Supporting Actor","John Gielgud",1982,1,1,0,10,5,97,0,1,0,1,0,"July",0,0,1,NA,0,1,0,0,0,95.461682,NA,"PG",0,78
"http://www.imdb.com/name/nm0000027/","http://www.imdb.com/title/tt0076759/","Star Wars: Episode IV - A New Hope","Star Wars: Episode IV - A New Hope Best Supporting Actor","Best Supporting Actor","Alec Guinness",1978,0,3,1,35,26,121,0,0,0,0,1,"May",0,0,0,NA,0,1,1,1,1,NA,NA,NA,0,64
"http://www.imdb.com/name/nm0000027/","http://www.imdb.com/title/tt0095530/","Little Dorrit","Little Dorrit Best Supporting Actor","Best Supporting Actor","Alec Guinness",1989,0,4,1,6,3,357,1,0,0,1,0,"October",1,0,0,NA,0,1,0,0,0,1.025228,NA,"G",1,75
"http://www.imdb.com/name/nm0000031/","http://www.imdb.com/title/tt0082846/","On Golden Pond","On Golden Pond Best Actress","Best Actress","Katharine Hepburn",1982,1,11,3,14,20,109,1,0,0,0,0,"December",0,1,0,NA,0,1,1,1,1,119.285432,NA,"PG",1,75
"http://www.imdb.com/name/nm0000034/","http://www.imdb.com/title/tt0074958/","Network","Network Best Actor","Best Actor","William Holden",1977,0,2,1,22,19,121,1,0,0,0,0,"November",0,1,1,NA,0,1,1,1,1,23.689877,3.8e-06,"R",1,59
"http://www.imdb.com/name/nm0000040/","http://www.imdb.com/title/tt0066921/","A Clockwork Orange","A Clockwork Orange Best Director","Best Director","Stanley Kubrick",1972,0,6,1,11,13,136,1,0,0,0,0,"December",0,0,0,NA,0,1,1,1,1,26.589355,2.2e-06,"R",1,44
"http://www.imdb.com/name/nm0000040/","http://www.imdb.com/title/tt0072684/","Barry Lyndon","Barry Lyndon Best Director","Best Director","Stanley Kubrick",1976,0,9,1,15,11,184,1,0,0,1,1,"December",0,1,0,NA,0,1,0,1,1,20,11,"PG",1,48
"http://www.imdb.com/name/nm0000041/","http://www.imdb.com/title/tt0089881/","Ran","Ran Best Director","Best Director","Akira Kurosawa",1986,0,0,0,28,18,162,1,0,0,0,1,"December",0,0,0,NA,0,0,0,1,0,3.607393,1.15e-05,"R",1,76
"http://www.imdb.com/name/nm0000044/","http://www.imdb.com/title/tt0080388/","Atlantic City, USA","Atlantic City, USA Best Actor","Best Actor","Burt Lancaster",1982,0,3,1,27,14,104,1,0,0,1,0,"April",0,1,0,NA,0,1,0,0,1,12.729675,NA,"R",0,69
