"id","film.person","film.href","film","film.person.href","award","Year","Won","past.nom","past.win","other.wins","other.noms","runtime","drama","comedy","biopic","rom","action","date","tiff.premiere","bafta","globes","sag","dga","script.nom","edit.nom","direct.nom","picture.nom","domestic.gross","budget","rating","adapted","age","wga","eddie","Hot","Dark","Ethnicity","Sexuality","Nationality","fall","white","black","american","british","R.rated","critic"
"...And Justice for All. Best Actor","Al Pacino","http://www.imdb.com/title/tt0078718/","...And Justice for All.","http://www.imdb.com/name/nm0000199/","Best Actor",1980,0,4,0,1,1,119,1,0,0,0,0,"October",0,0,0,NA,0,1,0,0,0,33.3,NA,"R",0,40,0,0,0,1,"White","Straight","United States",0,1,0,1,0,1,NA
"'Round Midnight Best Actor","Dexter Gordon","http://www.imdb.com/title/tt0090557/","'Round Midnight","http://www.imdb.com/name/nm0330143/","Best Actor",1987,0,0,0,12,8,133,1,0,0,0,0,"October",0,0,0,NA,0,0,0,0,0,NA,NA,NA,0,64,0,0,1,0,"Black","Straight","United States",0,0,1,1,0,NA,NA
"127 Hours Best Actor","James Franco","http://www.imdb.com/title/tt1542344/","127 Hours","http://www.imdb.com/name/nm0290556/","Best Actor",2011,0,0,0,15,83,94,1,0,1,0,1,"November",1,0,0,0,0,1,1,0,1,18.33523,18,"R",1,33,0,0,0,0,"White","Straight","United States",1,1,0,1,0,1,0
"127 Hours Best Picture",NA,"http://www.imdb.com/title/tt1542344/","127 Hours",NA,"Best Picture",2011,0,NA,NA,15,83,94,1,0,1,0,1,"November",1,0,0,0,0,1,1,0,1,18.33523,18,"R",1,NA,0,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,1,0
"21 Grams Best Actress","Naomi Watts","http://www.imdb.com/title/tt0315733/","21 Grams","http://www.imdb.com/name/nm0915208/","Best Actress",2004,0,0,0,28,36,124,1,0,0,0,0,"November",1,0,0,0,0,0,0,0,0,16.290476,20,"R",0,36,0,0,1,1,"White","Straight","Australia",1,1,0,0,0,1,0
"21 Grams Best Supporting Actor","Benicio Del Toro","http://www.imdb.com/title/tt0315733/","21 Grams","http://www.imdb.com/name/nm0001125/","Best Supporting Actor",2004,0,1,1,28,36,124,1,0,0,0,0,"November",1,0,0,0,0,0,0,0,0,16.290476,20,"R",0,37,0,0,1,1,"Hispanic","Straight","United States",1,0,0,1,0,1,0
"A Beautiful Mind Best Actor","Russell Crowe","http://www.imdb.com/title/tt0268978/","A Beautiful Mind","http://www.imdb.com/name/nm0000128/","Best Actor",2002,0,2,1,28,51,135,1,0,1,0,0,"December",0,1,1,1,1,1,1,1,1,170.742341,58,"PG-13",1,38,1,0,0,0,"White","Straight","Australia",1,1,0,0,0,0,1
"A Beautiful Mind Best Director","Ron Howard","http://www.imdb.com/title/tt0268978/","A Beautiful Mind","http://www.imdb.com/name/nm0000165/","Best Director",2002,1,0,0,28,51,135,1,0,1,0,0,"December",0,0,0,0,1,1,1,1,1,170.742341,58,"PG-13",1,48,1,0,0,0,"White","Straight","United States",1,1,0,1,0,0,1
"A Beautiful Mind Best Picture",NA,"http://www.imdb.com/title/tt0268978/","A Beautiful Mind",NA,"Best Picture",2002,1,NA,NA,28,51,135,1,0,1,0,0,"December",0,0,1,0,1,1,1,1,1,170.742341,58,"PG-13",1,NA,1,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,0,1
"A Beautiful Mind Best Supporting Actress","Jennifer Connelly","http://www.imdb.com/title/tt0268978/","A Beautiful Mind","http://www.imdb.com/name/nm0000124/","Best Supporting Actress",2002,1,0,0,28,51,135,1,0,1,0,0,"December",0,1,1,0,1,1,1,1,1,170.742341,58,"PG-13",1,32,1,0,0,0,"White","Straight","United States",1,1,0,1,0,0,1
"A Better Life Best Actor","Demian Bichir","http://www.imdb.com/title/tt1554091/","A Better Life","http://www.imdb.com/name/nm0065007/","Best Actor",2012,0,0,0,5,6,98,1,0,0,0,0,"June",0,0,0,0,0,0,0,0,0,1.759252,10,"PG-13",0,49,0,0,1,0,"Hispanic","Straight","Mexico",0,0,0,0,0,0,0
"A Civil Action Best Supporting Actor","Robert Duvall","http://www.imdb.com/title/tt0120633/","A Civil Action","http://www.imdb.com/name/nm0000380/","Best Supporting Actor",1999,0,5,1,5,8,115,1,0,0,0,0,"December",0,0,0,1,0,0,0,0,0,56.709981,75,"PG-13",1,68,0,0,0,0,"White","Straight","United States",1,1,0,1,0,0,0
"A Clockwork Orange Best Director","Stanley Kubrick","http://www.imdb.com/title/tt0066921/","A Clockwork Orange","http://www.imdb.com/name/nm0000040/","Best Director",1972,0,6,1,11,13,136,1,0,0,0,0,"December",0,0,0,NA,0,1,1,1,1,26.589355,2.2e-06,"R",1,44,0,0,0,1,"White","Straight","United States",1,1,0,1,0,1,NA
"A Clockwork Orange Best Picture",NA,"http://www.imdb.com/title/tt0066921/","A Clockwork Orange",NA,"Best Picture",1972,0,NA,NA,11,13,136,1,0,0,0,0,"December",0,0,0,NA,0,1,1,1,1,26.589355,2.2e-06,"R",1,NA,0,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"A Cry in the Dark Best Actress","Meryl Streep","http://www.imdb.com/title/tt0094924/","A Cry in the Dark","http://www.imdb.com/name/nm0000658/","Best Actress",1989,0,7,2,8,11,120,1,0,0,0,0,"November",0,0,0,NA,0,0,0,0,0,6.908797,NA,"PG-13",1,40,0,0,0,0,"White","Straight","United States",1,1,0,1,0,0,NA
"A Dry White Season Best Supporting Actor","Marlon Brando","http://www.imdb.com/title/tt0097243/","A Dry White Season","http://www.imdb.com/name/nm0000008/","Best Supporting Actor",1990,0,7,2,2,6,97,1,0,1,0,0,"September",0,0,0,NA,0,0,0,0,0,3.766879,NA,"R",1,66,0,0,1,1,"White","Bisexual","United States",0,1,0,1,0,1,NA
"A Few Good Men Best Picture",NA,"http://www.imdb.com/title/tt0104257/","A Few Good Men",NA,"Best Picture",1993,0,NA,NA,9,15,138,1,0,0,0,0,"December",0,0,0,NA,0,0,1,0,1,141.340178,40,"R",1,NA,0,0,0,0,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"A Few Good Men Best Supporting Actor","Jack Nicholson","http://www.imdb.com/title/tt0104257/","A Few Good Men","http://www.imdb.com/name/nm0000197/","Best Supporting Actor",1993,0,9,2,9,15,138,1,0,0,0,0,"December",0,0,0,NA,0,0,1,0,1,141.340178,40,"R",1,56,0,0,0,0,"White","Straight","United States",1,1,0,1,0,1,NA
"A Fish Called Wanda Best Director","Charles Crichton","http://www.imdb.com/title/tt0095159/","A Fish Called Wanda","http://www.imdb.com/name/nm0187769/","Best Director",1989,0,0,0,8,15,108,0,1,0,0,0,"July",0,0,0,NA,0,1,0,1,0,62.493712,NA,"R",0,79,0,0,0,1,"White","Straight","Great Britain",0,1,0,0,1,1,NA
"A Fish Called Wanda Best Supporting Actor","Kevin Kline","http://www.imdb.com/title/tt0095159/","A Fish Called Wanda","http://www.imdb.com/name/nm0000177/","Best Supporting Actor",1989,1,0,0,8,15,108,0,1,0,0,0,"July",0,1,0,NA,0,1,0,1,0,62.493712,NA,"R",0,42,0,0,0,1,"White","Straight","United States",0,1,0,1,0,1,NA
"A History of Violence Best Supporting Actor","William Hurt","http://www.imdb.com/title/tt0399146/","A History of Violence","http://www.imdb.com/name/nm0000458/","Best Supporting Actor",2006,0,3,1,35,34,96,1,0,0,0,0,"September",1,0,0,0,0,1,0,0,0,31.504633,32,"R",1,56,0,0,0,1,"White","Straight","United States",0,1,0,1,0,1,0
"A Passage to India Best Actress","Judy Davis","http://www.imdb.com/title/tt0087892/","A Passage to India","http://www.imdb.com/name/nm0001114/","Best Actress",1985,0,0,0,19,24,164,1,0,1,0,1,"December",0,1,0,NA,0,1,1,1,1,27.187653,NA,"PG",1,30,0,0,1,0,"White","Straight","Australia",1,1,0,0,0,0,NA
"A Passage to India Best Director","David Lean","http://www.imdb.com/title/tt0087892/","A Passage to India","http://www.imdb.com/name/nm0000180/","Best Director",1985,0,8,2,19,24,164,1,0,1,0,1,"December",0,0,0,NA,0,1,1,1,1,27.187653,NA,"PG",1,77,0,0,1,0,"White","Straight","Great Britain",1,1,0,0,1,0,NA
