film award,film person,film,past.nom,sag,globes,bafta,dga,edit.nom,picture.nom,script.nom,past.win,domestic.gross,runtime,Total,wga,eddie,comedy,Hot,Dark,drama,rom,biopic,fall,action
Best Actor,Christian Bale,American Hustle,1,0,0,0,NA,NA,1,1,1,144.78843,138,NA,0,0,0,0,NA,NA,NA,NA,1,NA
Best Actor,Bruce Dern,Nebraska,1,0,0,0,NA,NA,1,1,0,16.728208,115,NA,0,0,0,0,NA,NA,NA,NA,0,NA
Best Actor,Leonardo DiCaprio,The Wolf of Wall Street,4,0,0,0,NA,NA,1,1,0,113.34052,180,NA,0,0,1,0,NA,NA,NA,NA,1,NA
Best Actor,Chiwetel Ejiofor,12 Years a Slave,0,0,0,1,NA,NA,1,1,0,49.360365,134,NA,0,0,0,1,NA,NA,NA,NA,1,NA
Best Actor,Matthew McConaughey,Dallas Buyers Club,0,1,1,0,NA,NA,1,1,0,24.890933,117,NA,0,0,0,1,NA,NA,NA,NA,1,NA
Best Actress,Amy Adams,American Hustle,4,0,0,0,NA,1,1,1,0,144.78843,138,NA,0,0,0,0,NA,1,0,NA,NA,NA
Best Actress,Cate Blanchett,Blue Jasmine,4,1,1,1,NA,0,0,1,1,33.303963,98,NA,0,0,1,0,NA,1,0,NA,NA,NA
Best Actress,Sandra Bullock,Gravity,1,0,0,0,NA,1,1,0,1,269.589531,91,NA,0,0,0,0,NA,1,0,NA,NA,NA
Best Actress,Judi Dench,Philomena,6,0,0,0,NA,0,1,1,1,33.404668,98,NA,0,0,0,1,NA,1,0,NA,NA,NA
Best Actress,Meryl Streep,August: Osage County,17,0,0,0,NA,0,0,0,3,36.827051,121,NA,0,0,0,0,NA,1,0,NA,NA,NA
Best Supporting Actor,Barkhad Abdi,Captain Phillips,0,0,0,1,NA,1,1,1,0,106.957071,134,NA,1,1,0,1,1,NA,NA,NA,NA,0
Best Supporting Actor,Bradley Cooper,American Hustle,1,0,0,0,NA,1,1,1,0,144.78843,138,NA,0,0,0,0,0,NA,NA,NA,NA,0
Best Supporting Actor,Michael Fassbender,12 Years a Slave,0,0,0,0,NA,1,1,1,0,49.360365,134,NA,0,0,0,1,1,NA,NA,NA,NA,0
Best Supporting Actor,Jonah Hill,The Wolf of Wall Street,1,0,0,0,NA,0,1,1,0,113.34052,180,NA,0,0,1,0,1,NA,NA,NA,NA,0
Best Supporting Actor,Jared Leto,Dallas Buyers Club,0,1,1,0,NA,1,1,1,0,24.890933,117,NA,0,0,0,1,1,NA,NA,NA,NA,0
Best Supporting Actress,Sally Hawkins,Blue Jasmine,0,0,0,0,NA,0,0,1,0,33.303963,98,NA,0,0,1,0,NA,NA,NA,NA,NA,NA
Best Supporting Actress,Jennifer Lawrence,American Hustle,2,0,1,0,NA,1,1,1,1,144.78843,138,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
Best Supporting Actress,Lupita Nyong'o,12 Years a Slave,0,1,0,1,NA,1,1,1,0,49.360365,134,NA,0,0,0,1,NA,NA,NA,NA,NA,NA
Best Supporting Actress,Julia Roberts,August: Osage County,3,0,0,0,NA,0,0,0,1,36.827051,121,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
Best Supporting Actress,June Squibb,Nebraska,0,0,0,0,NA,0,1,1,0,16.728208,115,NA,0,0,0,0,NA,NA,NA,NA,NA,NA
Best Director,David O. Russell,American Hustle,5,0,0,0,0,1,1,1,0,144.78843,138,NA,0,0,0,0,NA,NA,NA,0,NA,NA
Best Director,Alfonso Cuaron,Gravity,3,NA,1,1,1,1,1,1,0,269.589531,91,NA,0,0,0,0,NA,NA,NA,0,NA,NA
Best Director,Alexander Payne,Nebraska,5,NA,0,0,0,0,1,1,2,16.728208,115,NA,0,0,0,0,NA,NA,NA,0,NA,NA
Best Director,Steve McQueen,12 Years a Slave,0,NA,0,0,0,1,1,1,0,49.360365,134,NA,0,0,0,1,NA,NA,NA,1,NA,NA
Best Director,Martin Scorcese,The Wolf of Wall Street,10,NA,0,0,0,0,1,1,1,113.34052,180,NA,0,0,1,0,NA,NA,NA,1,NA,NA
Best Picture,NA,American Hustle,NA,NA,0,0,0,1,1,1,NA,144.78843,138,4,0,0,0,0,NA,NA,NA,NA,NA,NA
Best Picture,NA,Captain Phillips,NA,NA,0,0,0,1,1,1,NA,106.957071,134,1,1,1,0,0,NA,NA,NA,NA,NA,NA
Best Picture,NA,Dallas Buyers Club,NA,NA,0,0,0,1,1,1,NA,24.890933,117,2,0,0,0,0,NA,NA,NA,NA,NA,NA
Best Picture,NA,Gravity,NA,NA,0,0,1,1,1,1,NA,269.589531,91,0,0,0,0,0,NA,NA,NA,NA,NA,NA
Best Picture,NA,Her,NA,NA,0,0,0,0,1,1,NA,24.173295,126,0,1,0,0,0,NA,NA,NA,NA,NA,NA
Best Picture,NA,Nebraska,NA,NA,0,0,0,0,1,1,NA,16.728208,115,2,0,0,0,0,NA,NA,NA,NA,NA,NA
Best Picture,NA,Philomena,NA,NA,0,0,0,0,1,1,NA,33.404668,98,1,0,0,0,1,NA,NA,NA,NA,NA,NA
Best Picture,NA,12 Years a Slave,NA,NA,1,1,0,1,1,1,NA,49.360365,134,3,0,0,0,1,NA,NA,NA,NA,NA,NA
Best Picture,NA,The Wolf of Wall Street,NA,NA,0,0,0,0,1,1,NA,113.34052,180,2,0,0,1,0,NA,NA,NA,NA,NA,NA
